Epig. 11,"Here Saon of Acanthus, son of Dicon, sleeps the holy sleep. Say not that the good die."
Epig. 12,"If thou seekest Timarchus in the house of Hades to learn aught of the soul, or how it shall be with thee hereafter, seek the son of Pausanias of the Ptolemaic tribe, and thou shalt find him in the abode of the righteous."
Epig. 13,"Short was the stranger: wherefore the line, though brief its tale: ""Theris, son of Aristaeus, Cretan,"" is long for me."
Epig. 14,"If thou goest to Cyzicus, it will be small trouble to find Hippacus and Didyme : for not obscure is their family. And a painful message thou wilt tell them, yet tell them this, that I here cover Critias, their son."
Epig. 15,"Doth Charidas rest under thee? ""If thou meanest the son of Arimmas of Cyrene, under me."" O Charidas, what of the world below? ""Much darkness."" And what of the upward way? ""A lie."" And Pluto? ""A fable."" We are undone. ""This that I say to you is the true tale, but if thou wouldst have the pleasant tale, a great ox costs but a [Pellaean] copper in Hades."""
Epig. 16,"Who knows tomorrow's fortune ? When even thee, Charmis, whom we saw with our own eyes yesterday, next day we laid in the grave with tears. Than that thy father Diophon hath seen nothing more painful."
Epig. 17,"""Timonoë."" Who art thou? By the gods I had not known thee, were not the name of thy father Timotheus on thy tombstone, and Methymna, thy city. Great, methinks, is the sorrow of thy widowed husband Euthymenes !"
Epig. 18,"Crathis, of many tales, skilled in pretty jest, do the daughters of the Samians oft-times seek - their sweetest companion, always talking ; but she sleeps here the sleep that is due to all."
Epig. 19,"Would that swift ships had never even been! So should we not be mourning Sopolis, son of Diocleides. But now he floats somewhere in the sea, a corpse, and, in his stead, his name and empty tomb we pass by."
Epig. 20,"Not on land died Lycus of Naxos, but at sea he saw ship and life perish together, when sailing as a merchant from Aegina. And he in the wet sea is a corpse, while I, the tomb that holds only his name, proclaim this message of utter truth: flee the company of the sea, oh mariner, when the kids are setting!"
Epig. 21,Here the father laid his twelve-year son: here Philippus laid his great hope - Nicoteles.
Epig. 22,At morn we buried Melanippus : as the sun set the maiden Basilo died by her own hand; for she could not endure to lay her brother on the pyre and live; and the house of their father Aristippus beheld a twofold woe; and all Cyrene bowed her head to see the home of happy children made desolate.
Epig. 23,"Whosoever thou art who walkest past my tomb, know that I am son and sire of Callimachus of Cyrene. Thou wilt know them both. For the one once led the arms of his fatherland, the other sang songs beyond the reach of envy. Naught in this is there to surprise ; for on whom as children the Muses look with no sidelong glance, those they do not reject as friends when their heads are grey."
Epig. 24,"Astacides, the Cretan, the goat-herd, a nymph carried off from the hill, and now Astacides is made holy. No more beneath the oaks of Dicte, no more of Daphnis shall we shepherds sing, but always of Astacides."
Epig. 25,"Farewell, O Sun, said Cleombrotus of Ambracia and leapt from a lofty wall into Hades. No evil had he seen worthy of death, but he had read one writing of Plato's, On the Soul."
Epig. 26,"I, a Hero, am set by the doors of Eëtion of Amphipolis - a small statue by a small vestibule, with coiling snake and a sword - no more: Wroth with the man Epeius he has set me also by his house on foot."
Epig. 27,"Callignotus swore to Ionis that he would never hold man or woman dearer than her. He sware : but what they say is true - that lovers' oaths enter not the ears of the immortals. And now his flame is a man, while of poor Ionis there is, as of the Megarians, ""nor count nor reckoning."""
Epig. 28,"With little means I led a humble life doing no dreadful deed nor injuring any. Dear Gaia, if I, Micylus, have praised any evil thing, be not thou light to me, nor light ye other Spirits which have me in your keeping."
Epig. 29,"Hesiod's is the theme and Hesiod's the manner. I misdoubt that not to the utter end but only the most honeysweet of his verses has the poet of Soli copied. Hail subtle discourses, the earnest vigil of Aratus."
Epig. 30,"I hate the cyclic poem, nor do I take pleasure in the road which carries many to and fro. I abhor, too, the roaming lover, and I drink not from every well ; I loathe all common things. Lysanias, thou art, yea, fair, fair : but ere Echo has quite said the word, says someone, ""He is another's."""
Epig. 31,"Fill the cup and say again ""To Diocles!"" And Achelous knows not of his sacred cups. Fair is the boy, O Achelous, and very fair: and if any denies it, may I alone know how fair he is!"
Epig. 32,"Cleonicus of Thessaly, poor youth! poor youth! nay, by the scorching sun I knew thee not. Where, poor wretch, hast thou been? Thou hast but bones and hair. Hath then the same doom overtaken thee as me, and hast thou met a hard dispensation of the gods? I know - Euxitheus hath caught thee too: for thou, too, didst come and gaze upon the fair one, poor youth, with both thine eyes."
Epig. 33,"The hunter on the hills, O Epicydes, searches out every hare and the tracks of every roe, beset by frost and snow. But if one say, "" Lo ! here is a beast shot "" he takes it not. Even such is my love : it can pursue what flees from it, but what lies ready it passes by."
Epig. 34,"Empty of wealth, I know, are my hands. But, for the Graces' sake, Menippus, tell not ""my own dream to me."" Pained through and through am I, when I hear this bitter saying. Yes, my friend, of all I have had from thee this is the most unloverlike."
Epig. 35,"Artemis, to thee Phileratis set up this image here. Do thou accept it, Lady, and keep her safe."
Epig. 36,"To thee, O Lord, Strangler of the Lion, Slayer of the Boar, I, a branch of oak, am dedicated - ""By whom?"" Archinus. ""Which?"" The Cretan. ""I accept."""
Epig. 37,Tis the tomb of Battus' son that thou art passing - one who was well skilled in poesy and well skilled in season to laugh over the wine.
Epig. 38,"Menitas of Lyctus dedicated this bow with these words: ""Lo! I give to thee horn and quiver, Sarapis; but the arrows the men of Hesperis have."""
Epig. 39,"These gifts to Aphrodite did Simŏn, the light o' love, dedicate: a portrait of herself and the girdle that kissed her breasts, and her torch, yea, and the wands which she, poor woman, used to carry."
Epig. 40,"To Demeter of the Gates, to whom Pelasgian Acrisius builded this shrine, and to her daughter under earth, Timodemus of Naucratis dedicated these gifts as a tithe of his gains. For so he vowed."
Epig. 41,"Priestess, Sir, of old was I of Demeter and again of the Cabeiri and afterward of Dindymene [Cybele] - I the old woman who am now dust, I who in {the travail of Eleutho} was the friend of many young wives. And two male children were born to me and in a ripe old age I closed my eyes in their arms. Go thy way and farewell !"
Epig. 42,"Half of my soul still lives, but half I know not whether Love or Death hath stolen : only it is vanished. Has it gone again to where the boys are ? and yet I forbade them often : '' O youths, receive not the runaway!"" There help me, some one, to search ; for there somewhere of a surety flits that lovesick one, worthy to die by stoning."
Epig. 43,"If of my free will, Archinus, I serenaded thee, blame me ten thousand times ; but if I came unwillingly, away with rashness! Wine and Love constrained me ; whereof the one dragged me, the other allowed me not to away with rashness. And when I came, I did not shout thine or thy father's name, but kissed the doorpost. If this be wrong, then I have done wrong."
Epig. 44,"The stranger had a wound and we knew it not. How painful a sigh, marked you ? he heaved when he drank his third cup, and the roses, shedding their petals, fell from his garlands all upon the ground. He is badly burnt, by the gods, my guess is not amiss - a thief myself I know the tracks of a thief."
Epig. 45,"There is something hidden, by Pan, there is, yes, by Dionysus, some hidden fire beneath these ashes. No confidence have I : embrace me not. Oft-times the quiet river undermines the wall unmarked. So now I fear, Menexenus, lest this fawning gypsy slip in and whelm me in love."
Epig. 46,"""Thou wilt be caught! flee and save thyself, Menecrates!"" said I on the 20th of Panemos, and on Loios the -what?- the 10th, the ox came to the plough unbidden. Well done, my Hermes, well done ! with the twenty days' interval I find no fault."
Epig. 47,"How excellent was the charm that Polyphemus discovered for the lover. By Earth, the Cyclops was no fool! The Muses, O Philippus, reduce the swollen wound of love. Surely the poet's skill is sovereign remedy for all ill. Methinks hunger, too, hath this good and this alone in regard to evil: it drives away the disease of love. We have both remedies against thee, remorseless Love: ""There, boy; have thy wings cut, little boy! We fear thee not a jot; for we have in store both charms for thy cruel hurt."""
Epig. 48,"The salt-cellar, whereon, by eating frugal salt for relish, he escaped the mighty storms of debt, Eudemus dedicated to the gods of Samothrace [the Cabeiri], saying, ""According to my vow, O people, saved from salt, I dedicated this here."""
Epig. 49,"Simus, son of Miccus, offered me to the Muses, praying for ease of learning. And they, like Glaucus gave him a great gift for a small. And here I am set, gaping twice as widely as the Samian, the tragic Dionysus, hearkening to children as they say ""Sacred is the lock of hair,"" repeating ""my own dream to me."""
Epig. 50,"Say, Stranger, that I am set up as a witness of the victory of Agoranax of Rhodes, a comic witness indeed - Pamphilus, not a single love-worn face but half of it like roasted figs and the lamps of Isis."
Epig. 51,"Phrygian Aeschra, his good nurse, so long as she lived, Miccus cared for in her old age with all good things, and when she died, he set up her statue for future generations to see, so that the old woman has received thanks for her nursing breasts."
Epig. 52,Four are the Graces ; for beside those three another has been fashioned lately and is yet wet with perfume. Happy Berenice and resplendent among all - without whom even the Graces themselves are not Graces.
Epig. 53,"If Theocritus with finely darkening cheek hates me, four times as much mayst thou hate him, or if he loves me, love. Yea, by Ganymedes of the fair locks, O Zeus in heaven, thou too hast loved. I say no more."
Epig. 54,"Even so again, Eilethyia, come thou when Lycaenis calls, to bless her pains with easy birth ; so may thy fragrant shrine have, as now this offering for a girl, some other offering hereafter for a boy."
Epig. 55,"Know, Asclepius, that thou hast received the debt which Aceson owed thee by his vow for his wife Demodice. But if thou dost forget and demand payment again, the tablet says it will bear witness."
Epig. 56,"To the god Sarapis of Canopus did Callistiŏn, daughter of Critias, dedicate me - a lamp enriched with twenty nozzles: a vow for her child Apellis. Looking on my light thou wilt say, ""Hesperus, how art thou fallen?"""
Epig. 57,"Euaenetus, who set me up, says - for I know not - that in return for a victory of his I am offered - a bronze cock - to the Tyndaridae : I believe the son of Phaedrus, son of Philoxenides."
Epig. 58,"In the temple of Isis, daughter of Inachus, is set the statue of Aeschylis, daughter of Thales, in fulfilment of the vow of her mother, Eirene."
Epig. 59,"Who art thou, O shipwrecked stranger ? Leontichus found thee here a corpse upon the beach, and covered thee in this tomb, with tears for his own hazardous life. For no quiet life is his either, but restless as the gull he roams the sea."
Epig. 60,"Orestes of old was happy, Leucarus, because though mad in all else, he was not seized by the greatest madness, nor tried the Phocian by the one test which proves the friend ; nay, had he produced but one drama, soon would he by so doing have lost his comrade- even as I have no more my many Pyladae."
Epig. 61,"Whosoever ye be who pass the tomb of Cimon of Elis, know that ye pass the son of Hippaeus."
Epig. 62,"Menecrates of Aenus - for thou, it seems, were not to be here for long - what, best of friends, made an end of thee? Was it that which was the undoing of the Centaur? ""It was the destined sleep that came to me, but wretched wine has the blame."""
Epig. 63,"Ye goats of Cynthus, be of good cheer ! for now the bow of Cretan Echemmas is laid up in Ortygia in the temple of Artemis, - that bow wherewith he made the great hill empty of you. But now he hath ceased, ye goats, since the goddess hath wrought a truce."
Epig. 64,"So mayst thou sleep, Conopiŏn, as thou makest thy lover lie by this cold porch ; so mayst thou sleep, O most unkind, as thou makest thy lover lie ; but pity thou hast not met even in a dream. The neighbours pity, but thou not even in a dream. But the grey hair will presently remind thee of all these things."
,"[7.344b] Never, unless Leo had had my courage and strength would I have set foot on this tomb."
,[7.454] The cup of unmixed wine drained twice straight off has run away with Erasixenus the deep drinker.
,"[13.9] From Chios, rich in wine, ploughing the Aegean comes many a jar, and many a one that brings us nectar, flower of the Lesbian vine."
,"[13.10] O ship, who have carried off the only sweet light of my life, I beseech you by Zeus, the watcher of the harbour . . ."
